SIZE/np	2	4	8	16	32	
256	778	477	354	311	248	
512	1131	679	485	371	324	
1024	1785	1051	719	551	461	
2048	3040	1793	1180	906	732	
4096	5257	3059	2047	1545	1207	
8192	9550	5450	3676	2756	2109	
16384	18072	10409	6965	5275	3965	
32768	33896	20160	13493	10152	7636	
