SIZE/np	2	4	8	16	32	
256	609	364	254	216	154	
512	855	509	349	259	209	
1024	1321	782	524	391	317	
2048	2233	1325	860	678	537	
4096	3839	2275	1545	1209	934	
8192	6925	4048	2821	2219	1712	
16384	13041	7741	5420	4268	3329	
32768	24431	15008	10590	8391	6466	
