SIZE/np	2	4	8	16	32	
256	63	42	38	41	47	
512	103	64	51	43	44	
1024	161	97	73	56	56	
2048	277	164	117	82	77	
4096	483	285	195	133	116	
8192	842	489	321	218	173	
16384	1567	862	530	400	296	
32768	2868	1647	1005	755	550	
